# time  ID  size  fromHost  toHost  TTL  isResponse
600.0000 M39$10 10000 s38 p101 60 N 
600.0000 M40$10 10000 s39 p100 60 N 
600.0000 M41$10 10000 s40 p101 60 N 
600.0000 M42$10 10000 s41 p102 60 N 
600.0000 M43$10 10000 s42 p104 60 N 
600.0000 M44$10 10000 s43 p102 60 N 
600.0000 M45$10 10000 s44 p103 60 N 
600.0000 M46$10 10000 s45 p100 60 N 
600.0000 M47$10 10000 s46 p102 60 N 
600.0000 M48$10 10000 s47 p100 60 N 
600.0000 M49$10 10000 s48 p101 60 N 
600.0000 M50$10 10000 s49 p101 60 N 
660.0000 M1$11 10000 s0 p104 60 N 
660.0000 M2$11 10000 s1 p100 60 N 
660.0000 M3$11 10000 s2 p103 60 N 
660.0000 M4$11 10000 s3 p102 60 N 
660.0000 M5$11 10000 s4 p103 60 N 
660.0000 M6$11 10000 s5 p103 60 N 
660.0000 M7$11 10000 s6 p103 60 N 
660.0000 M8$11 10000 s7 p101 60 N 
660.0000 M9$11 10000 s8 p102 60 N 
660.0000 M10$11 10000 s9 p101 60 N 
660.0000 M11$11 10000 s10 p102 60 N 
660.0000 M12$11 10000 s11 p102 60 N 
660.0000 M13$11 10000 s12 p104 60 N 
660.0000 M14$11 10000 s13 p104 60 N 
660.0000 M15$11 10000 s14 p100 60 N 
660.0000 M16$11 10000 s15 p100 60 N 
660.0000 M17$11 10000 s16 p104 60 N 
660.0000 M18$11 10000 s17 p102 60 N 
660.0000 M19$11 10000 s18 p104 60 N 
660.0000 M20$11 10000 s19 p104 60 N 
660.0000 M21$11 10000 s20 p104 60 N 
660.0000 M22$11 10000 s21 p104 60 N 
660.0000 M23$11 10000 s22 p104 60 N 
660.0000 M24$11 10000 s23 p102 60 N 
660.0000 M25$11 10000 s24 p102 60 N 
660.0000 M26$11 10000 s25 p102 60 N 
660.0000 M27$11 10000 s26 p102 60 N 
660.0000 M28$11 10000 s27 p102 60 N 
660.0000 M29$11 10000 s28 p100 60 N 
660.0000 M30$11 10000 s29 p104 60 N 
660.0000 M31$11 10000 s30 p100 60 N 
660.0000 M32$11 10000 s31 p100 60 N 
660.0000 M33$11 10000 s32 p101 60 N 
660.0000 M34$11 10000 s33 p101 60 N 
660.0000 M35$11 10000 s34 p104 60 N 
660.0000 M36$11 10000 s35 p104 60 N 
660.0000 M37$11 10000 s36 p104 60 N 
660.0000 M38$11 10000 s37 p104 60 N 
660.0000 M39$11 10000 s38 p102 60 N 
660.0000 M40$11 10000 s39 p101 60 N 
660.0000 M41$11 10000 s40 p101 60 N 
660.0000 M42$11 10000 s41 p103 60 N 
660.0000 M43$11 10000 s42 p100 60 N 
660.0000 M44$11 10000 s43 p100 60 N 
660.0000 M45$11 10000 s44 p100 60 N 
660.0000 M46$11 10000 s45 p100 60 N 
660.0000 M47$11 10000 s46 p103 60 N 
660.0000 M48$11 10000 s47 p103 60 N 
660.0000 M49$11 10000 s48 p103 60 N 
660.0000 M50$11 10000 s49 p102 60 N 
720.0000 M1$12 10000 s0 p104 60 N 
720.0000 M2$12 10000 s1 p103 60 N 
720.0000 M3$12 10000 s2 p101 60 N 
720.0000 M4$12 10000 s3 p103 60 N 
720.0000 M5$12 10000 s4 p101 60 N 
720.0000 M6$12 10000 s5 p101 60 N 
720.0000 M7$12 10000 s6 p103 60 N 
720.0000 M8$12 10000 s7 p101 60 N 
720.0000 M9$12 10000 s8 p100 60 N 
720.0000 M10$12 10000 s9 p100 60 N 
720.0000 M11$12 10000 s10 p100 60 N 
720.0000 M12$12 10000 s11 p103 60 N 
720.0000 M13$12 10000 s12 p101 60 N 
720.0000 M14$12 10000 s13 p103 60 N 
720.0000 M15$12 10000 s14 p103 60 N 
720.0000 M16$12 10000 s15 p101 60 N 
720.0000 M17$12 10000 s16 p103 60 N 
720.0000 M18$12 10000 s17 p101 60 N 
720.0000 M19$12 10000 s18 p104 60 N 
720.0000 M20$12 10000 s19 p100 60 N 
720.0000 M21$12 10000 s20 p102 60 N 
720.0000 M22$12 10000 s21 p104 60 N 
720.0000 M23$12 10000 s22 p100 60 N 
720.0000 M24$12 10000 s23 p100 60 N 
720.0000 M25$12 10000 s24 p102 60 N 
720.0000 M26$12 10000 s25 p102 60 N 
720.0000 M27$12 10000 s26 p103 60 N 
